ZIP,ALand
85035,1246190
85043,11056321
85009,1880498
85007,2601456
86504,792172786
85006,1265032
85008,1550262
85034,13555160
85032,2590325
85007,1200491
85031,2815997
85041,2598908
85040,2569301
85042,1446596
85042,2687775
85041,2579308
85041,2583291
85041,7769302
85042,3496826
85032,767901
85044,3430306
85048,3802548
85044,1134499
85048,2295743
85048,5703861
85007,5226378
85009,8090015
85258,1865457
85268,8420238
85268,15649419
85023,5215782
85266,93090194
85258,3234760
85259,2469716
85032,5142712
85018,6562047
85259,33224180
85255,55898629
85615,329303180
85250,2544694
85250,2511839
85251,1287056
85029,2582502
85257,2181796
85257,1920059
85257,2558166
85271,2524586
85257,1305688
85281,2589083
85281,1287866
85281,1093172
85282,2657428
85285,2578482
85306,2565589
85283,1331378
85283,2459943
85283,2614826
85283,2952977
85283,2061110
85207,8146899
85207,1927697
85207,2019842
85205,2590013
85215,2585032
85029,1000952
85206,2584534
85201,3086180
85203,1339267
85213,2613634
85204,1303025
85203,1210887
85201,2403909
85201,1497175
85201,2325570
85203,1278407
85028,2584777
85204,1290728
85204,1314226
85202,726402
85210,1259059
85202,1306546
85224,2544903
85210,2604654
85202,1864699
85204,2620840
85233,7863204
85754,1288058
85234,2475281
85204,2605462
85204,2604371
85234,2377262
85296,2588096
85236,10188812
85208,5141351
85234,2558179
85205,1466701
85208,1948503
85021,942646
85209,2547250
85206,6144226
85209,2574580
85212,15602989
85224,2646098
85224,2598528
85224,2616517
85086,10069251
85086,32164952
85086,106335801
85013,649356
85383,4910442
85310,4476769
85310,10564411
85327,55860182
85327,2475514
85327,37909225
85383,6369958
85310,2744474
85310,12409427
85031,3382352
85015,2575241
85027,1973896
85255,26765002
85382,3088968
85027,2511190
85053,3039168
85027,2475485
85050,3998321
85032,1165367
85382,2572912
85308,2389134
85018,1557172
85308,1413808
85023,1258865
85021,1289386
85022,1309963
85032,1408302
85338,736390545
85226,5146786
85284,5364139
85226,2512819
85226,2475231
85013,1504391
85225,2598747
85286,2738674
85248,5268215
85248,2858731
85249,2582748
85249,2589729
85249,2568189
85635,18873357
85296,2587675
85296,3813446
85297,10646295
85033,1231152
85297,2836128
85297,1814039
85142,3043516
85142,6900608
85248,2616275
85256,211716270
86426,70754553
86413,1254659988
86401,311558410
86429,139189566
85033,1302037
86442,2490099
86439,3648438
86426,29870307
86404,4899658
86403,6364349
86406,6220572
86401,23159087
85360,10257945908
86510,357566787
86025,1544076227
85016,1780329
85941,349918681
86025,1010707683
86047,77168415
85929,15826303
85928,22589814
85901,527773003
85701,1250509
85719,2417265
85719,3195137
85705,1669094
85257,6570748
85705,2060703
85716,2334104
85716,2429820
85713,4842739
85714,3402486
85713,2649726
85710,6762359
85746,5638656
85705,2467708
85716,1126151
85007,2540085
85712,2581273
85712,2669144
85716,2250340
85711,2982154
85711,3004756
85711,3235155
85711,2492263
85730,44171782
85706,2605068
85714,1157771
85035,1264266
85710,2496895
85710,3679833
85750,11347564
85712,3901729
85730,2034732
85745,1130039
85715,2575502
85749,32975289
85730,1935093
85747,18994881
85009,721053
85710,2067353
85747,26147452
85706,2161609
85706,4741570
85614,5666030
85746,5277471
85614,3743826
85614,22252410
85614,2622683
85735,3595119
85008,649254
85709,7866818
85745,47200564
85653,970593234
85653,40447604
85705,3435212
85705,3594273
85741,3998965
85704,3464391
85741,3190280
85704,2416112
85003,1304997
85737,6889104
85739,23541124
85741,2398892
85716,10687921
85739,11992301
85750,15638964
85750,3772336
85321,3975914435
85634,4731248238
85140,5167910
85031,2815997
85142,8946080
85132,17791494
85207,3884856
85220,2515241
85219,31885033
85273,94053430
85132,138258913
86004,10587881
85009,9025026
85222,230664441
85222,34312629
85040,2480171
85222,2622433
85222,19095671
85222,297274602
85138,3984273
85239,31744247
85231,9944883
85241,834066473
85631,1535560627
85272,1896284469
85621,576543866
85339,6532427
85648,665648412
85621,8065200
86323,91500317
86301,7931312
86314,14830665
86312,17186621
86301,4857004
86305,79403899
86321,1358885864
86326,52264266
85041,7727811
86325,99066260
86336,431515471
86326,28419333
85754,3987683
85364,1576634
85364,1279028
85365,3206927
85364,1301830
85364,23008520
85366,2193247
85048,2416246
85367,8642387
85365,217272842
85365,24914378
85367,3036878
85356,411800171
